model,best_params,train_accuracy,test_accuracy,train_recall,test_recall,train_f1,test_f1,RR
LogisticRegression,"{'C': 0.024244620170823284, 'penalty': 'l1'}",0.7443708609271523,0.7823275862068966,0.9327983951855566,0.8551136363636364,0.9337349397590362,0.8563300142247511,0.766695689970141
KNN,"{'n_neighbors': 5, 'weights': 'uniform'}",0.7748344370860927,0.8556034482758621,0.9488465396188566,0.9630681818181818,0.8615664845173042,0.9100671140939598,0.8319768536061639
GaussianNB,{},0.4986754966887417,0.24568965517241378,0.5867602808425276,0.03977272727272727,0.6467661691542289,0.07407407407407407,0.2986237373737374
RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.6701986754966888,0.7801724137931034,1.0,0.9971590909090909,1.0,0.8731343283582089,0.7314116379310345
AdaBoost,{'n_estimators': 200},0.7291390728476821,0.7801724137931034,1.0,0.9090909090909091,1.0,0.862533692722372,0.7591511058355468
GradientBoost,{'n_estimators': 150},0.7602649006622516,0.8103448275862069,0.9989969909729187,0.9318181818181818,0.9994982438534872,0.8817204301075268,0.7920349137002282
SVM,"{'C': 0.5878016072274912, 'gamma': 1e-05}",0.785430463576159,0.790948275862069,0.9297893681043129,0.8920454545454546,0.8922040423484119,0.8662068965517241,0.7605546664289058
